k,kmeans++_lloyd,kmeans++_byhand,kmeans++_elkan
36,0.026978731155395508,0.0005171298980712891,0.021032094955444336
37,0.02594614028930664,0.0005037784576416016,0.01672220230102539
38,0.022967100143432617,0.00046896934509277344,0.011141061782836914
39,0.03043985366821289,0.00045990943908691406,0.01483917236328125
40,0.03056478500366211,0.0005450248718261719,0.011511087417602539
41,0.031059980392456055,0.0004999637603759766,0.011374235153198242
42,0.025108814239501953,0.0004937648773193359,0.013092041015625
43,0.02895188331604004,0.0004520416259765625,0.009923219680786133
44,0.023771047592163086,0.0005137920379638672,0.011615991592407227
45,0.025722026824951172,0.0005738735198974609,0.012385129928588867
46,0.02540302276611328,0.0004429817199707031,0.015033960342407227
47,0.028441905975341797,0.0005381107330322266,0.01317286491394043
48,0.024801015853881836,0.0005743503570556641,0.011266708374023438
49,0.028954744338989258,0.00048613548278808594,0.012833118438720703
50,0.026410818099975586,0.00047516822814941406,0.013149023056030273
51,0.0242462158203125,0.0004649162292480469,0.016354084014892578
52,0.027563095092773438,0.0012390613555908203,0.012006998062133789
53,0.0271759033203125,0.0005872249603271484,0.027080774307250977
54,0.027155160903930664,0.0004742145538330078,0.012897014617919922
55,0.023308753967285156,0.0004489421844482422,0.011505365371704102
56,0.025219202041625977,0.0015299320220947266,0.012081146240234375
57,0.026024818420410156,0.0005130767822265625,0.012082099914550781
58,0.026617050170898438,0.000553131103515625,0.01809096336364746
59,0.029332876205444336,0.0005609989166259766,0.018748044967651367
60,0.03164172172546387,0.0005731582641601562,0.010654926300048828
61,0.0263822078704834,0.0005259513854980469,0.012753009796142578
62,0.026758909225463867,0.0006389617919921875,0.011919736862182617
63,0.030657052993774414,0.0005540847778320312,0.017213821411132812
64,0.027651071548461914,0.0005507469177246094,0.014008045196533203
65,0.027830123901367188,0.0005667209625244141,0.012900114059448242
66,0.030960798263549805,0.0005278587341308594,0.009788036346435547
67,0.025779247283935547,0.00047898292541503906,0.009219884872436523
68,0.025662899017333984,0.0004508495330810547,0.009662151336669922
69,0.024563074111938477,0.0004589557647705078,0.011234045028686523
70,0.0281679630279541,0.0005540847778320312,0.012770891189575195
71,0.026877164840698242,0.0005159378051757812,0.015043020248413086
72,0.02620387077331543,0.0005121231079101562,0.013253927230834961
73,0.025983095169067383,0.0004990100860595703,0.00962519645690918
74,0.0280001163482666,0.0006201267242431641,0.011829853057861328
75,0.026394128799438477,0.0005700588226318359,0.014291763305664062
76,0.025402069091796875,0.0004911422729492188,0.011668920516967773
77,0.027011871337890625,0.0005190372467041016,0.012024879455566406
78,0.024441003799438477,0.0007197856903076172,0.013574838638305664
79,0.025632858276367188,0.0004978179931640625,0.013202190399169922
80,0.02664017677307129,0.0005278587341308594,0.014686107635498047
81,0.02897810935974121,0.0005190372467041016,0.01335000991821289
82,0.02920389175415039,0.00047779083251953125,0.012403011322021484
83,0.023712873458862305,0.0004711151123046875,0.009691953659057617
84,0.022511005401611328,0.0004639625549316406,0.008319854736328125
85,0.027148962020874023,0.0005810260772705078,0.012752056121826172
86,0.030392885208129883,0.0005671977996826172,0.014124870300292969
87,0.025150775909423828,0.00047087669372558594,0.012824058532714844
88,0.0307309627532959,0.00047397613525390625,0.013187170028686523
89,0.025324106216430664,0.00046181678771972656,0.009923219680786133
90,0.024536848068237305,0.0004620552062988281,0.010039091110229492
91,0.023150205612182617,0.0004570484161376953,0.011609792709350586
92,0.025678157806396484,0.0004520416259765625,0.011569976806640625
93,0.025447845458984375,0.0004630088806152344,0.010339975357055664
94,0.02329421043395996,0.00045800209045410156,0.008779764175415039
95,0.02488112449645996,0.0004589557647705078,0.00939178466796875
96,0.03033280372619629,0.00045013427734375,0.025902986526489258
97,0.03699374198913574,0.0014750957489013672,0.02213311195373535
98,0.027706146240234375,0.0005021095275878906,0.013315916061401367
99,0.0258028507232666,0.0004658699035644531,0.012147188186645508
